model,index,period,dist,seed,n,exceptions,expected,var_mean,var_std,p_uc,p_cc,p_ind,p_dq,lopez,caporin_reg,caporin_firm
garchnet,spx,2011,normal,2.0,250,8,6.25,-0.029282736162246335,0.015019890889039475,0.4965251678312268,0.04861776941984508,0.018113104177091,0.003987851489577143,8.001236099359025,-2.700814732281213,246.2695290326048
garchnet,spx,2011,normal,3.0,250,8,6.25,-0.030328432863871657,0.013954442877219442,0.4965251678312268,0.39786383564863814,0.23994188207731293,0.126299775243642,8.001333541920255,-2.152238839130492,247.5848524918402
garchnet,spx,2011,skewt,1.0,250,3,6.25,-0.035581776604601385,0.011419971759662632,0.1435648642736429,0.34312396537806633,1.0,0.01153127659033737,3.000657725915591,-0.9228577470518482,247.71365757296653
garchnet,spx,2011,skewt,2.0,250,3,6.25,-0.037040896120441154,0.013326914401985818,0.1435648642736429,0.34312396537806633,1.0,0.011642973174317506,3.0004696085452442,-0.8090480909033817,247.47637282443372
garchnet,spx,2011,skewt,3.0,250,3,6.25,-0.034584624226646495,0.010123829664911998,0.1435648642736429,0.34312396537806633,1.0,0.011180579531169799,3.0004929568369976,-0.8685661560739621,247.52697853692314
garchnet,spx,2011,t,1.0,250,5,6.25,-0.0334821709232011,0.012354996285081172,0.6000212735069022,0.18005794736161906,0.07574158174658208,0.0404633129172165,5.000742156231961,-1.1614734357023302,247.30744265094359
garchnet,spx,2011,t,2.0,250,5,6.25,-0.034311175417985895,0.015251546453612385,0.6000212735069022,0.18005794736161906,0.07574158174658208,0.04029133168297838,5.000702310982537,-1.168905468544628,247.5097155590264
garchnet,spx,2011,t,3.0,250,6,6.25,-0.033845011943535334,0.01501100445323393,0.9188018674814984,0.29617885187630155,0.11955116835488078,0.11696014058135717,6.0006459917267545,-1.2052892416200092,247.37913339365048
garchnet,spx,2020,normal,1.0,250,28,6.25,-0.019485528830862627,0.013415040583405898,7.140477098488418e-11,5.199158881197263e-10,0.6002620259613358,0.0,28.01627419849993,-22.22035648043303,260.50849853679273
garchnet,spx,2020,normal,2.0,250,29,6.25,-0.02017307515870578,0.015732331130991043,1.3739454018946162e-11,3.874711662632535e-11,0.13432140757001243,0.0,29.014739821049584,-20.6705869167955,261.78980996504686
garchnet,spx,2020,normal,3.0,250,24,6.25,-0.02052757009182304,0.014950048893157944,3.501161416341603e-08,1.3082251459906047e-07,0.2558562032157857,1.1102230246251565e-16,24.016310462625917,-21.227983631178063,258.9650606713358
garchnet,spx,2020,skewt,1.0,250,20,6.25,-0.024103475006186734,0.014636296404951225,8.523543760352581e-06,1.0095785701325077e-05,0.07408543409048851,1.7330581414398694e-13,20.015203852956397,-17.72946395236188,255.14865866415454
garchnet,spx,2020,skewt,2.0,250,20,6.25,-0.025008713359675427,0.015418996074217308,8.523543760352581e-06,1.0095785701325077e-05,0.07408543409048851,1.4297452111122766e-12,20.013207401814604,-14.831310513224395,255.73078159190663
garchnet,spx,2020,skewt,3.0,250,20,6.25,-0.02489265081196352,0.014170964035909419,8.523543760352581e-06,2.749447670347127e-05,0.2760636248274302,4.315103829810596e-12,20.015286972907354,-16.912780014843094,254.10359001374104
garchnet,spx,2020,t,1.0,250,21,6.25,-0.0229866034200038,0.014662935663607955,2.3167490520448197e-06,3.851505514851361e-06,0.1054288137311894,2.6614266346314253e-12,21.013376209312433,-16.861994223343263,257.34675459994367
garchnet,spx,2020,t,2.0,250,19,6.25,-0.02410476054033428,0.016008224287072693,2.981701366622236e-05,2.419915183926591e-05,0.05037493555392658,4.332800784823121e-11,19.01244427514166,-16.502074868843923,256.844513812929
garchnet,spx,2020,t,3.0,250,22,6.25,-0.023907670997651904,0.016258434472088527,5.998805927553974e-07,1.3501014156647173e-06,0.14557373837558496,4.083400284571326e-13,22.014114415610507,-17.61148020183306,254.9674202645482
garchnet,wig20,2009,normal,1.0,250,10,6.25,-0.03701223101780102,0.009857840666688763,0.16172062359665362,0.2639999131582864,0.40092508686903383,0.23710341708548044,10.001985988468311,-2.9221828055919925,258.8135693119995
garchnet,wig20,2009,normal,2.0,250,11,6.25,-0.03521880451110087,0.008686990271557483,0.08173423327287388,0.17398653594820124,0.494148950056138,0.11251642783291549,11.002479589664006,-3.566961076636572,259.4243775153032
garchnet,wig20,2009,normal,3.0,250,11,6.25,-0.035965113364493574,0.008661577485847215,0.08173423327287388,0.17398653594820124,0.494148950056138,0.0946891988948021,11.002174763346847,-3.235551457712135,258.96126117803243
garchnet,wig20,2009,skewt,1.0,250,9,6.25,-0.03875226178590139,0.0013986019950244807,0.29542798548340243,0.34974882327486834,0.3157762037622527,0.2672455873350257,9.002448367105165,-2.3096577623653194,256.91947289313856
garchnet,wig20,2009,skewt,2.0,250,6,6.25,-0.04129278684420287,0.008285276011835714,0.9188018674814984,0.9948172826658415,1.0,0.9942600189360993,6.001350733774451,-1.5502790257331893,257.40916629610575
garchnet,wig20,2009,skewt,3.0,250,4,6.25,-0.04274015632377885,0.0016319764795222375,0.32961526319804,0.6217579568519986,1.0,0.9781154758752909,4.001896762320369,-1.7244508549719182,256.23930847586143
garchnet,wig20,2009,t,1.0,250,12,6.25,-0.0378973833786299,0.001532608167920427,0.038280278413802216,0.03352655956743056,0.11396855079481882,2.10761641472601e-09,12.00281510063462,-2.9134892495311746,257.232880871149
